MouseID,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pERK_N,pMEK_N,Bcatenin_N,CDK5_N,Tau_N,GFAP_N,pCASP9_N,Ubiquitin_N,Genotype,Treatment,Behavior,class
3414_1,0.838053341,1.006323893,0.3649528,2.603061131,4.207680323,0.202547887,0.164054624,1.06278068,0.243973971,2.463568875,0.296906523,0.194070836,0.099921542,1.481394306,0.972539789,Ts65Dn,Memantine,C/S,t-CS-m
3414_2,0.938244544,1.077099018,0.366148861,2.703611932,4.48422758,0.197464977,0.169922806,1.072905747,0.259792242,2.741446679,0.293712558,0.187783439,0.101170147,1.4268518,0.914842394,Ts65Dn,Memantine,C/S,t-CS-m
3417_1,0.449649843,0.648031876,0.261531031,1.789181357,2.991789423,0.181960879,0.143443613,0.689688481,0.201279884,1.801497223,0.313650607,0.189189189,0.12377595,2.013611438,1.124951038,Ts65Dn,Memantine,C/S,t-CS-m
3417_2,0.486866675,0.681812523,0.250591311,1.835926802,3.239014067,0.18175028,0.147516494,0.751773933,0.238516121,1.791734097,0.302204561,0.188475731,0.120541205,2.031223389,1.093386318,Ts65Dn,Memantine,C/S,t-CS-m
3502_1,0.281035689,0.563610917,0.376906928,2.528481456,4.990762771,0.280895731,0.202239328,0.313785864,0.334219734,2.880195941,0.300735908,0.199833093,0.107048024,1.522039299,1.51331462,Ts65Dn,Memantine,S/C,t-SC-m
3502_2,0.293219129,0.578158458,0.405281941,2.686509636,5.411991435,0.293076374,0.209707352,0.322341185,0.343326196,2.99200571,0.306653664,0.200060011,0.116645413,1.434100968,1.536193834,Ts65Dn,Memantine,S/C,t-SC-m
3606_1,0.486174589,0.781878428,0.322897623,2.288391225,4.811585923,0.23857404,0.178702011,0.543761426,0.296275137,2.41476234,0.264083641,0.220787208,0.101414514,1.802460025,1.363284133,Ts65Dn,Memantine,S/C,t-SC-m
3606_2,0.476542665,0.75836185,0.303896677,2.242852412,4.78662104,0.238988851,0.165360415,0.520035324,0.284578872,2.31637046,0.265221068,0.217443827,0.11023194,1.75283885,1.388741242,Ts65Dn,Memantine,S/C,t-SC-m
18899_1,0.506199732,0.696045576,0.316018767,2.204591153,4.154323056,0.254859249,0.180294906,0.776977212,0.299262735,2.066018767,0.308707124,0.222860912,0.152563136,1.38955899,1.284771956,Ts65Dn,Saline,C/S,t-CS-s
18899_2,0.523760331,0.746212121,0.324896694,2.285640496,4.32231405,0.268767218,0.194387052,0.829201102,0.284607438,2.222623967,0.307230047,0.228262911,0.141971831,1.427981221,1.204413146,Ts65Dn,Saline,C/S,t-CS-s
3476_1,0.526969902,0.868870477,0.352553263,2.693523842,4.075160636,0.239093676,0.17526209,0.762935408,0.308505242,2.557997971,0.335238301,0.271188268,0.128908777,2.106318741,1.288979944,Ts65Dn,Saline,C/S,t-CS-s
3476_2,0.55318967,0.857961348,0.347528647,2.630494271,4.125534462,0.224132034,0.174106379,0.744313323,0.28809646,2.622541474,0.349083949,0.280284386,0.125184578,2.058955428,1.285917419,Ts65Dn,Saline,C/S,t-CS-s
3426_1,0.500643119,0.828336796,0.409320273,2.68328881,4.594835263,0.252003562,0.197684773,0.556248145,0.328880974,3.013554962,0.339164141,0.302638772,0.114694628,1.700392586,1.215176664,Ts65Dn,Saline,S/C,t-SC-s
3426_2,0.478054342,0.807524226,0.38732662,2.608018241,4.36699601,0.241022231,0.189720692,0.531730952,0.322154665,2.903192096,0.350426065,0.330025063,0.115037594,1.669122807,1.192230576,Ts65Dn,Saline,S/C,t-SC-s
3491_1,0.45099035,0.714660572,0.383866599,2.598103944,4.396478754,0.267902489,0.185373286,0.481293381,0.337650245,3.077535128,0.324732818,0.279077047,0.118007423,2.134150159,1.414300407,Ts65Dn,Saline,S/C,t-SC-s
3491_2,0.430101997,0.725550699,0.401131396,2.647295792,4.216250964,0.271277963,0.183251907,0.472957915,0.339933145,3.137138939,0.330526986,0.278920542,0.116956403,2.179166287,1.432693183,Ts65Dn,Saline,S/C,t-SC-s
